"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001615200";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001606157";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001725450";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001671752";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001612785";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001612793";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001610905";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001610987";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001634042";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001610873";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001607555";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001607576";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001724859";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001619047";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
